"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI"
"CB5.3",2025-08-25,0.5,25.7,8.2,8.5,23300,14,NA,"1.7"
"CB5.3",2025-08-25,1,25.7,8.2,8.5,23300,14,NA,NA
"CB5.3",2025-08-25,2,25.7,8.2,8.5,23300,14,NA,NA
"CB5.3",2025-08-25,3,25.6,8.2,8.3,23300,14.1,NA,NA
"CB5.3",2025-08-25,4,25.6,8.2,8.1,24600,15.1,NA,NA
"CB5.3",2025-08-25,5,25.7,8,7,25300,15.4,NA,NA
"CB5.3",2025-08-25,6,25.7,7.9,6.3,26200,16.1,NA,NA
"CB5.3",2025-08-25,7,25.7,7.9,6,26900,16.5,NA,NA
"CB5.3",2025-08-25,8,25.8,7.8,5.1,28600,17.6,NA,NA
"CB5.3",2025-08-25,9,25.8,7.8,4.5,29300,18.1,NA,NA
"CB5.3",2025-08-25,10,25.9,7.7,4.4,30200,18.7,NA,NA
"CB5.3",2025-08-25,11,25.9,7.8,4.4,30500,19,NA,NA
"CB5.3",2025-08-25,12,26,7.7,4.2,31500,19.6,NA,NA
"CB5.3",2025-08-25,13,26,7.7,4.1,31800,19.8,NA,NA
"CB5.3",2025-08-25,14,26.1,7.7,4,32500,20.2,NA,NA
"CB5.3",2025-08-25,15,26.1,7.8,4,32700,20.4,NA,NA
"CB5.3",2025-08-25,16,26.1,7.7,4,32800,20.4,NA,NA
"CB5.3",2025-08-25,17,26.1,7.7,3.9,32800,21.4,NA,NA
"CB5.3",2025-08-25,18,26.2,7.8,4,34300,21.5,NA,NA
"CB5.3",2025-08-25,19,26.3,7.8,4.1,35000,22,NA,NA
"CB5.3",2025-08-25,20,26.3,7.8,4.2,35300,22.2,NA,NA
"CB5.3",2025-08-25,22,26.3,7.8,4.2,35500,22.3,NA,NA
"CB5.3",2025-08-25,24,26.3,7.8,4.3,36000,22.7,NA,NA
"LE2.3",2025-08-25,0.5,25.8,8.1,7.6,21900,13.2,NA,"1.8"
"LE2.3",2025-08-25,1,25.8,8.1,7.6,21900,13.2,NA,NA
"LE2.3",2025-08-25,2,25.8,8.1,7.5,21900,13.2,NA,NA
"LE2.3",2025-08-25,3,25.8,8,7.4,22300,13.3,NA,NA
"LE2.3",2025-08-25,4,25.8,8.1,7.3,22400,13.4,NA,NA
"LE2.3",2025-08-25,5,25.7,8,6.8,23600,14.2,NA,NA
"LE2.3",2025-08-25,6,25.7,7.9,6.3,24100,14.6,NA,NA
"LE2.3",2025-08-25,7,25.7,7.9,6.3,24600,15,NA,NA
"LE2.3",2025-08-25,8,25.6,7.7,5,26100,15.9,NA,NA
"LE2.3",2025-08-25,9,25.6,7.7,5,26300,16.1,NA,NA
"LE2.3",2025-08-25,10,25.5,7.8,5.3,26400,16.1,NA,NA
"LE2.3",2025-08-25,11,25.5,7.6,4.3,27000,16.6,NA,NA
"LE2.3",2025-08-25,12,25.8,7.5,2.4,29300,18.1,NA,NA
"LE2.3",2025-08-25,13,25.8,7.6,2.3,30640,19,NA,NA
"LE2.3",2025-08-25,14,25.8,7.5,1.8,30900,19.2,NA,NA
"LE2.3",2025-08-25,16,25.8,7.5,1.6,31300,19.4,NA,NA
"LE2.3",2025-08-25,18,25.8,7.5,1.6,31700,19.7,NA,NA
"CB5.2",2025-08-25,0.5,25.9,8.1,8,23000,14.1,NA,"1.3"
